<BI_BOOKING HEADER DETAILS_ACCOUNT_CONTACT EMAIL>,$bi_contactEmail,booking.getBookingPartyEmail(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_CONTACT NAME>,$bi_contactName,booking.getBookingPartyContactPerson(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_CONTAINER OPERATOR>,$bi_containerOperator,booking.getContainerOperator().getEdiCode(),String,0;1,,Booking,,,
Container Operator Object,$bi_containerOperatorObj,booking.getContainerOperator(),ContainerOperator,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_VERSION HISTORY_CREATED>,$bi_createdDate,booking.getCreatedDate(),Date,0;1,,Booking,,,
<BI_DECLINE_REASON>,$bi_declineReason,this.getDeclineReasonForBooking(booking),String,N,,Booking,,,
Itinerary Discharge Port,$bi_dischargePort,bookingItinerary.getDischargePort(voyage),SchedulePort,0,,BookingItinerary;Voyage,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_FREIGHT TERMS>,$bi_freightTerms,booking.getTermsOfCharge().getLabel(),String,0;1,,Booking,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_INCOTERMS>,$bi_incoterms,booking.getTermsOfShipment().getLabel(),String,0;1,,Booking,,,
<BI_BOOKING HEADER DETAILS_INTERNAL NOTES>,$bi_internalNotes,,,,,,,,
Itinerary Load Port,$bi_loadPort,booking.getLoadPort(),SchedulePort,0,,Booking,,,
Itinerary Load Port UN,$bi_loadPortUn,booking.getLoadPort().getLocodeNoSpaces(),String,0;1,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_BUYER>,$bi_partiesBuyer,booking.getParty(PartyType.BUYER).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_CONSIGNEE>,$bi_partiesConsignee,booking.getConsigneeParty().getAddressDetailList().getContactDetail().getContactName(),String,1;2;4,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_CONSOLIDATOR>,$bi_partiesConsolidator,booking.getParty(PartyType.CONSOLIDATOR).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_IMPORTERR>,$bi_partiesImporter,booking.getParty(PartyType.IMPORTER).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_NOTIFY PARTY>,$bi_partiesNotify,booking.getNotifyParty().getAddressDetailList().getContactDetail().getContactName(),String,1;2;4,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_FREIGHT FORWARDER AT POD>,$bi_partiesPodForwarder,booking.getParty(PartyType.FORWARDER_POD).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_FREIGHT FORWARDER AT POL>,$bi_partiesPolForwarder,booking.getParty(PartyType.FORWARDER_POL).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_SELLER>,$bi_partiesSeller,booking.getParty(PartyType.SELLER).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_SHIPPER>,$bi_partiesShipper,booking.getParty(PartyType.SHIPPER).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_SHIP TO>,$bi_partiesShipTo,booking.getParty(PartyType.SHIP_TO).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_STUFFER>,$bi_partiesStuffer,booking.getParty(PartyType.STUFFER).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_ADDITIONAL PARTIES_THIRD PARTY>,$bi_partiesThird,booking.getParty(PartyType.THIRD_PARTY).getAddressDetailList().getContactDetail().getContactName(),String,2;3;5,,Booking,,,
<BI_BOOKING HEADER DETAILS_REFERENCES_ACCOUNTS REFERENCE>,$bi_referenceAccounts,booking.getBookingPartyRef(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_REFERENCES_CARRIERS REFERENCE>,$bi_referenceCarriers,booking.getCarrierRef(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_REFERENCES_INWARD AGENTS REFERENCE>,$bi_referenceInwardAgent,booking.getAgentInwardRef(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_REFERENCES_OTHER REFERENCE>,$bi_referenceOther,booking.getOtherRef(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_REFERENCES_OUTWARD AGENTS REFERENCE>,$bi_referencesOutwardAgent,booking.getAgentOutwardRef(),String,0,,Booking,,,
<BI_BOOKING HEADER DETAILS_ACCOUNT_CONTRACT NUMBER>,$bi_serviceContract,booking.getFreightContract().getFreightContractNumber();,String,0;1,,Booking,,,
<BI_ACCOUNT_BOOKING STATUS>,$bi_status,booking.getStatus(),String,0,,Booking,,,
Transshipment Port X,$bi_transshipPort,bookingItinerary.getTransshipmentPorts().get({P}).getSchedulePort(),SchedulePort,0;1,int,BookingItinerary,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_TOTAL GROSS WEIGHT> - Loop on Book Line Item,$bli_totalGrossWeight,String.valueOf(getBliCommodityTotalGrossWeight(bookLineItem)),String,N,,BookLineItem,,bookLineItem != null,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_TOTAL VOLUME> - Loop on Book Line Item,$bli_totalVolume,String.valueOf(getBliCommodityTotalVolume(bookLineItem)),String,N,,BookLineItem,,bookLineItem != null,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_COMMODITY_COMMODITY CODE>,$commodity_commodityCode,commodityBookLineItemList.getCommodity().getHtsCode(),String,N,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_COMMODITY_COMMODITY DESCRIPTION>,$commodity_commodityDescription,commodityBookLineItemList.getCommodity().getCommodityDescription(),String,N,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_COMMODITY_HAZARDOUS OR NON HAZARDOUS>,$commodity_hazardous,(commodityBookLineItemList.getHazardousDetail() != null),boolean,N,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_GROSS WEIGHT PER PACKAGE>,$commodity_packagesGrossWeight,commodityBookLineItemList.getGrossWeight(),Double,Y,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_NET WEIGHT PER PACKAGE>,$commodity_packagesNetWeight,commodityBookLineItemList.getNetWeight(),Double,Y,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_PACKAGES PER CONTAINER>,$commodity_packagesNumberPerContainer,commodityBookLineItemList.getNrPackages(),Long,Y,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_PACKAGE TYPE>,$commodity_packageTypeISO,commodityBookLineItemList.getPackageType().getPackageCode(),String,0;1,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_PACKAGE TYPE>,$commodity_packageTypeText,commodityBookLineItemList.getPackageType().getPackageDescription(),String,0;1,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_DESCRIPTION OF GOODS_HS CODE>,$commodity_siCommodityCode,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getCommodity().getHtsCode(),String,0;1L;3,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_DESCRIPTION OF GOODS_BILL OF LADING DESCRIPTION>,$commodity_siDescriptionBol,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getCommodity().getLongDescription(),String,0;1L;3,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_DESCRIPTION OF GOODS_SHORT DESCRIPTION>,$commodity_siDescriptionShort,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getCommodity().getCommodityDescription(),String,0;1L;3,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_MARKS AND NUMBERS>,$commodity_siMarksAndNumbers,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getMarksAndNumbers(),String,0;1L,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_NUMBER AND KIND OF PACKAGES_NUMBER>,$commodity_siNumberPackages,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getNumberOfPackages(),Integer,0;1L,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_NUMBER AND KIND OF PACKAGES_KIND OF PACKAGES>,$commodity_siPackageTypeISO,commodityBookLineItemList.getPackageType().getPackageCode(),String,0;1,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_NUMBER AND KIND OF PACKAGES_KIND OF PACKAGES>,$commodity_siPackageTypeName,commodityBookLineItemList.getPackageType().getPackageDescription(),String,0;1,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_TOTAL COMMODITY WEIGHTS_TOTAL GROSS WEIGHT>,$commodity_siWeightTotalCommodityGross,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getTotalGrossWeight().toString(),String,0;1,,CommodityBookLineItemList,,,
<SI_SHIPPING INSTRUCTION LINE ITEMS_BOOKING LINE NR_CONTAINER_COMMODITIES_TOTAL COMMODITY WEIGHTS_TOTAL NET WEIGHT>,$commodity_siWeightTotalCommodityNet,commodityBookLineItemList.getSiContainerCommodityLists().get(0).getTotalNetWeight().toString(),String,0;1,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_TOTAL CAPACITY>,$commodity_totalCapacity,commodityBookLineItemList.getCapacity(),Float,0;1,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_TOTAL GROSS WEIGHT>,$commodity_totalGrossWeight,commodityBookLineItemList.getTotalGrossWeight().toString(),String,0;1,,CommodityBookLineItemList,,,
<BI_BOOK LINE ITEMS_BOOKING CONTAINER DETAILS_CONTAINER DETAILS_COMMODITIES_PACKAGING_TOTAL NET WEIGHT>,$commodity_totalNetWeight,commodityBookLineItemList.getTotalNetWeight().toString(),String,0;1,,CommodityBookLineItemList,,,
